id,site,title,company,location,date_posted,job_type,is_remote,company_industry,skills,search_keyword,target_country,scraped_at
in-95e8bf934568ab5e,indeed,"AI Software Engineer, Python",G2i Inc.,"Gent, VLG, BE",2025-06-30,fulltime,True,,['Python'],"""software engineer"" python",Belgium,2025-07-02 14:05:14.011166
in-0b3368a537e88935,indeed,"AI Software Engineer, Python",G2i Inc.,"Wien, W, AT",2025-06-30,fulltime,True,,['Python'],"""software engineer"" python",Austria,2025-07-02 14:06:10.101555
in-60974536b93b2aa4,indeed,Back-end Developer (APIs/Python/SpringBoot) New,Neoris,"Madrid, MD, ES",2025-06-26,,False,,['Python'],"""software engineer"" python",Spain,2025-07-02 14:04:16.643043
in-2c29455ddec00b27,indeed,"AI Software Engineer, Python",G2i Inc.,"Brussels, BRU, BE",2025-06-30,fulltime,True,,['Python'],"""software engineer"" python",Belgium,2025-07-02 14:05:14.011166
in-16671f1caa2a4761,indeed,Python Engineer,ABN AMRO,"Amersfoort, UT, NL",2025-07-02,,False,,['Python'],"""software engineer"" python",Netherlands,2025-07-02 14:04:45.225090
in-b4e607f9648dc45f,indeed,React Native Developer,ABN AMRO,"Diemen, NH, NL",2025-06-26,,True,,['React'],"""backend developer"" API",Netherlands,2025-07-02 14:04:59.876871
in-c2b56e3752ff3662,indeed,Python Software Engineer,Capgemini Engineering,"Diegem, VLG, BE",2025-07-01,,False,,['Python'],"""software engineer"" python",Belgium,2025-07-02 14:05:14.011166
in-29f8ebfb19cb47c5,indeed,"AI Software Engineer, Python",G2i Inc.,"Antwerpen, VLG, BE",2025-06-30,fulltime,True,,['Python'],"""software engineer"" python",Belgium,2025-07-02 14:05:14.011166
in-839538987c55322f,indeed,"AI Software Engineer, Python",G2i Inc.,"Namur, WAL, BE",2025-06-30,fulltime,True,,['Python'],"""software engineer"" python",Belgium,2025-07-02 14:05:14.011166
in-7b9e312cf6b4a2b9,indeed,Senior Java Software Engineer - Platform (x/f/m),Doctolib,"Levallois-Perret, A8, FR",2025-07-01,,True,,['Java'],"""software engineer"" python",France,2025-07-02 12:14:33.745101
in-d4823c0d1d32a8eb,indeed,Senior Software Developer (Java) - Platform,Lightspeed,"Berlin, BE, DE",2025-07-02,,True,,['Java'],"""backend developer"" API",Germany,2025-07-04 09:24:17.579227
in-2556b0b20883d1ec,indeed,FRONTEND DEVELOPER (REACT) - MI,ISCS Srls,"Milano, LOM, IT",2025-07-03,fulltime,True,Internet And Software,['React'],"""frontend developer"" react",Italy,2025-07-04 09:27:43.116186
in-a295ab8a35c6d072,indeed,Frontend Developer (React) - MI,ISCS Srls,"Milano, LOM, IT",2023-08-08,fulltime,True,Internet And Software,['React'],"""frontend developer"" react",Italy,2025-07-04 09:27:43.116186
in-7a9713ea4bda7766,indeed,Frontend Developer (Angular),ZorgDomein Nederland BV,"Breukelen, UT, NL",2025-07-02,,False,,['Angular'],"""frontend developer"" react",Netherlands,2025-07-04 09:37:02.856667
in-439b9e45362cb426,indeed,Java Backend Developer,Uni Systems,"Brussels, BRU, BE",2025-07-02,fulltime,False,,['Java'],"""backend developer"" API",Belgium,2025-07-04 09:40:34.200052
in-44ec1131fafc67c9,indeed,"Middle/Senior Software Engineer (Node.js, GCP)",Exadel,"Warszawa, MZ, PL",2025-07-03,,True,,"['JavaScript', 'Node.js']","""software engineer"" python",Poland,2025-07-04 09:46:45.289384
in-c645a175cf2c3349,indeed,Software Engineer - Java,Visa,"Warszawa, MZ, PL",2025-06-30,fulltime,False,Banks And Financial Services,['Java'],"""software engineer"" python",Poland,2025-07-04 09:46:45.289384
in-4bbe1f0de49154dc,indeed,Software Engineer- Java Full Stack,Visa,"Warszawa, MZ, PL",2025-06-28,fulltime,False,Banks And Financial Services,['Java'],"""software engineer"" python",Poland,2025-07-04 09:46:45.289384
in-153ee9161828c419,indeed,Lead Software Engineer (.Net + Python),Internal Referral Program,"Warszawa, MZ, PL",2025-06-27,,True,,['Python'],"""software engineer"" python",Poland,2025-07-04 09:46:45.289384
