source,country,query,title,company,location,salary_min,salary_max,description,created,scraped_at,country_name,skills,salary_avg
adzuna,nl,javascript developer,Process Engineer,ilionx Hyperautomation,"Watergang, Waterland",,,"Heb jij ervaring als developer en wil je de kans krijgen om jezelf te ontwikkelingen binnen Hyperautomation? Solliciteer dan naar de functie als Process Engineer bij ilionx Hyperautomation! Jouw rol ilionx Hyperautomation is sinds 2023 een business unit van ilionx en is dé business partner in digitale transformatie en automatisering. Wij optimaliseren en automatiseren processen via Hyperautomation, waarbij we verschillende slimme technologieën combineren. Business Automation Workflow is daarbij…",2025-05-19 14:59:22+00:00,2025-06-30 19:53:58.703145,Netherlands,[],
adzuna,nl,javascript developer,Process Engineer,ilionx Hyperautomation,"'s-Hertogenbosch, Noord-Brabant",,,"Heb jij ervaring als developer en wil je de kans krijgen om jezelf te ontwikkelingen binnen Hyperautomation? Solliciteer dan naar de functie als Process Engineer bij ilionx Hyperautomation! Jouw rol ilionx Hyperautomation is sinds 2023 een business unit van ilionx en is dé business partner in digitale transformatie en automatisering. Wij optimaliseren en automatiseren processen via Hyperautomation, waarbij we verschillende slimme technologieën combineren. Business Automation Workflow is daarbij…",2025-05-19 14:59:22+00:00,2025-06-30 19:53:58.703151,Netherlands,[],
adzuna,nl,javascript developer,Senior Nodejs/AWS Engineer,Oakwell Hampton Group,Nederland,,,"Senior Nodejs Developer Hybrid - 2-3 Days in Almere - EU Citizens Only Up to €95,000 per annum What’s in It for You? Salary up to €95,000 per annum  pension Work on ground-breaking projects with a team passionate about innovation and excellence. Be part of a company that invests in your professional development and career progression. Travel Expenses and an excellent pension scheme Contribute to the future of live entertainment by developing technology that enhances unforgettable experiences. C…",2025-06-25 09:50:03+00:00,2025-06-30 19:53:58.703157,Netherlands,"['JavaScript', 'Node.js']",
adzuna,nl,javascript developer,Frontend Developer - Eindhoven,Noir,Nederland,72000.0,108000.0,"Frontend Developer - Social Networking Site - Eindhoven, Netherlands (Tech stack: Frontend Developer, HTML, CSS, JavaScript, React, Redux, React Router, TypeScript, Cypress, Angular, VueJS, jQuery, Web, UI, UX, User Interface, User Experience, Front End, Frontend Developer) Our client is the world's largest social networking website, aiming to become the biggest site globally! Operating in 25 countries, their planned expansion for the next 12 months will add another 10 countries, doubling their…",2025-06-24 09:54:03+00:00,2025-06-30 19:53:58.703205,Netherlands,[],90000.0
adzuna,nl,javascript developer,"Lead Full stack developer (Ruby on Rails, JavaScript)",SuperSaas,"Amsterdam, Noord-Holland",,,"We aim to provide the very best appointment scheduling software, so we are looking for someone who is at the top of their field and writes DRY, elegant code. We consider top tier coding an art form and treat programmers with the respect they deserve. Software runs through our veins: the founder of our company is also a developer and still commits regularly. SuperSaaS looks for candidates who enjoy working for a rapidly growing company and are passionate about creating great software using cutti…",2025-06-24 08:06:24+00:00,2025-06-30 19:53:58.703212,Netherlands,['JavaScript'],
adzuna,nl,javascript developer,".NET Software Engineer, .NET 8, C# - Record Label - The Hague",Noir,"Den Haag, Zuid-Holland",60000.0,84000.0,".NET Software Engineer, .NET 8, C# - Global Record Label - The Hague, Netherlands (Tech stack: .NET Software Engineer, .NET 8, C#, Azure, Angular 17, Multithreading, RESTful, Web API 2, JavaScript, Programmer, Full Stack Developer, Architect, .NET Software Engineer) We are pleased to announce that our client, one of the largest and most recognised brands within the music industry, is seeking .NET Software Engineer to work out of their plush offices in the heart of The Hague, Netherlands. You wi…",2025-06-24 09:54:03+00:00,2025-06-30 19:53:58.703215,Netherlands,[],72000.0
adzuna,nl,javascript developer,Back-end Developer,Jelling,"Vught, Noord-Brabant",,,"Max € 4.500,- | 32 - 40 uur | Typescript / Javascript | Back-end Developer | Regio Den Bosch | Functieomschrijving Voor een bedrijf in de regio van Den Bosch zoek ik een ervaren Back-end Developer. Jij gaat de interne software verder door ontwikkelen en gaat ook nieuwe maatwerk software bouwen. Je werkt met REST API's en Typescript. Dit worden jouw taken: Ontwerpen en implementeren van software met Typescript en Node.js; Onderhouden van (REST) API's; Uitvoeren van performance optimalisaties; We…",2025-06-23 16:04:12+00:00,2025-06-30 19:53:58.703218,Netherlands,[],
adzuna,nl,javascript developer,Software Developer,Jelling,Nederland,,,"Max € 4.500,- | 32 - 40 uur | Typescript / Javascript | Back-end Developer | Regio Den Bosch | Functieomschrijving Wij zijn op zoek naar een ervaren Back-end Developer voor een bedrijf gevestigd in de regio van Den Bosch. In deze rol zul je verantwoordelijk zijn voor het verder ontwikkelen van interne software en het bouwen van nieuwe maatwerk software. Je zult werken met REST API's en Typescript. Jouw taken zullen onder meer zijn: Het ontwerpen en implementeren van software met behulp van Type…",2025-06-25 11:38:54+00:00,2025-06-30 19:53:58.703221,Netherlands,[],
adzuna,nl,javascript developer,Back-end Developer,Jelling,"Vught, Noord-Brabant",,,"Max € 4.500,- | Typescript / Javascript | Back-end Developer | Regio Den Bosch | Functieomschrijving Voor een bedrijf in de regio van Den Bosch zoek ik een ervaren Back-end Developer. Jij gaat de interne software verder door ontwikkelen en gaat ook nieuwe maatwerk software bouwen. Je werkt met REST API's en Typescript. Dit worden jouw taken: Ontwerpen en implementeren van software met Typescript en Node.js; Onderhouden van (REST) API's; Uitvoeren van performance optimalisaties; Werken met TDD e…",2025-06-27 06:42:25+00:00,2025-06-30 19:53:58.703225,Netherlands,[],
adzuna,nl,javascript developer,.NET Software Engineer - Growing Internet Company - Eindhoven,Noir,Nederland,60000.0,72000.0,".NET Software Engineer - Fastest-Growing Internet Co Ever - Eindhoven, Netherlands (Tech stack: .NET Software Engineer, .NET 8, C#, Azure, Angular 17, Multithreading, RESTful, Web API 2, JavaScript, Programmer, Full Stack Developer, Architect, Ontwikkelaar, .NET Software Engineer) Our client is changing the way merchants and consumers connect with each other worldwide, and the change has barely started. In 2023, they were the fastest-growing internet company ever, and they drove more than €4 bi…",2025-06-24 09:54:03+00:00,2025-06-30 19:53:58.703228,Netherlands,[],66000.0
